2022-янв-21 08:27:55 [background-preinit] INFO  o.h.v.i.u.Version                                  - HV000001: Hibernate Validator 6.0.13.Final
2022-янв-21 08:27:55 [main] INFO  c.c.r.RealestateApplication                        - Starting RealestateApplication using Java 1.8.0_202 on DELL-Inspiron-7577 with PID 9516 (C:\Users\zalma\IdeaProjects\realestate\target\classes started by zalma in C:\Users\zalma\IdeaProjects\realestate)
2022-янв-21 08:27:55 [main] INFO  c.c.r.RealestateApplication                        - The following profiles are active: dev
2022-янв-21 08:27:56 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate          - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-янв-21 08:27:56 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate          - Finished Spring Data repository scanning in 97 ms. Found 9 JPA repository interfaces.
2022-янв-21 08:27:57 [main] INFO  o.s.b.w.e.t.TomcatWebServer                        - Tomcat initialized with port(s): 8443 (https)
2022-янв-21 08:27:57 [main] INFO  o.a.c.h.Http11NioProtocol                          - Initializing ProtocolHandler ["https-jsse-nio-8443"]
2022-янв-21 08:27:57 [main] INFO  o.a.c.c.StandardService                            - Starting service [Tomcat]
2022-янв-21 08:27:57 [main] INFO  o.a.c.c.StandardEngine                             - Starting Servlet engine: [Apache Tomcat/9.0.55]
2022-янв-21 08:27:58 [main] INFO  o.a.c.c.C.[.[.[/]                                  - Initializing Spring embedded WebApplicationContext
2022-янв-21 08:27:58 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext     - Root WebApplicationContext: initialization completed in 2216 ms
2022-янв-21 08:27:58 [main] INFO  c.z.h.HikariDataSource                             - HikariPool-1 - Starting...
2022-янв-21 08:27:59 [main] INFO  c.z.h.HikariDataSource                             - HikariPool-1 - Start completed.
2022-янв-21 08:27:59 [main] INFO  o.f.c.i.l.VersionPrinter                           - Flyway Community Edition 8.0.4 by Redgate
2022-янв-21 08:27:59 [main] INFO  o.f.c.i.d.b.BaseDatabaseType                       - Database: jdbc:postgresql://localhost:5432/RealEstate (PostgreSQL 13.2)
2022-янв-21 08:27:59 [main] INFO  o.f.c.i.c.DbValidate                               - Successfully validated 3 migrations (execution time 00:00.032s)
2022-янв-21 08:27:59 [main] INFO  o.f.c.i.c.DbMigrate                                - Current version of schema "main": 3
2022-янв-21 08:27:59 [main] INFO  o.f.c.i.c.DbMigrate                                - Schema "main" is up to date. No migration necessary.
2022-янв-21 08:27:59 [main] INFO  o.h.j.i.u.LogHelper                                - HHH000204: Processing PersistenceUnitInfo [name: default]
2022-янв-21 08:27:59 [main] INFO  o.h.Version                                        - HHH000412: Hibernate ORM core version 5.6.1.Final
2022-янв-21 08:27:59 [main] INFO  o.h.a.c.Version                                    - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2022-янв-21 08:27:59 [main] INFO  o.h.d.Dialect                                      - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQL10Dialect
2022-янв-21 08:28:00 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator                 - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2022-янв-21 08:28:00 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean     - Initialized JPA EntityManagerFactory for persistence unit 'default'
2022-янв-21 08:28:01 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2022-янв-21 08:28:02 [main] INFO  o.s.s.w.DefaultSecurityFilterChain                 - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3855b27e, org.springframework.security.web.context.SecurityContextPersistenceFilter@418d1c03, org.springframework.security.web.header.HeaderWriterFilter@3b8b5b40, org.springframework.security.web.csrf.CsrfFilter@405223e4, org.springframework.security.web.authentication.logout.LogoutFilter@49665f92, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@6942ee48, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7305cfb1, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@134955bb, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5305f936, org.springframework.security.web.session.SessionManagementFilter@2e1ad7de, org.springframework.security.web.access.ExceptionTranslationFilter@5521407f, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@719bb60d]
2022-янв-21 08:28:04 [main] INFO  o.a.c.h.Http11NioProtocol                          - Starting ProtocolHandler ["https-jsse-nio-8443"]
2022-янв-21 08:28:04 [main] INFO  o.s.b.w.e.t.TomcatWebServer                        - Tomcat started on port(s): 8443 (https) with context path ''
2022-янв-21 08:28:04 [main] INFO  c.c.r.RealestateApplication                        - Started RealestateApplication in 9.514 seconds (JVM running for 11.64)
2022-янв-21 08:32:45 [https-jsse-nio-8443-exec-5] INFO  o.a.c.c.C.[.[.[/]                                  - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-янв-21 08:32:45 [https-jsse-nio-8443-exec-5] INFO  o.s.w.s.DispatcherServlet                          - Initializing Servlet 'dispatcherServlet'
2022-янв-21 08:32:45 [https-jsse-nio-8443-exec-5] INFO  o.s.w.s.DispatcherServlet                          - Completed initialization in 2 ms
2022-янв-21 08:33:08 [https-jsse-nio-8443-exec-7] WARN  o.s.w.s.m.s.DefaultHandlerExceptionResolver        - Resolved [org.springframework.web.bind.MissingPathVariableException: Required URI template variable 'user' for method parameter type User is present but converted to null]
